Bankleitzahl,Bezeichnung,BIC
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB188
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB164
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB184
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB165
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB123
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB120
12070024,Deutsche Bank Privat und Geschäftskunden,
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB166
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB167
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB126
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB176
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB177
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB185
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB186
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB178
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB127
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB189
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB168
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB169
12070024,Deutsche Bank Privat und Geschäftskunden,DEUTDEDB124
12070024,Deutsche Bank Privat und Geschäftskunden F 704,DEUTDEDB161
12070070,Deutsche Bank (Gf intern),DEUTDEFFVAC
12070088,Deutsche Bank (Gf intern),DEUTDEDBPAL
12080000,Commerzbank vormals Dresdner Bank Filiale Berlin II,DRESDEFF120
12090640,apoBank,DAAEDED1040
12096597,Sparda-Bank Berlin,GENODEF1S10
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
